Name,CPU,Number of Cores,GPU,Number of Sim Cards,OS,Camera Resolution,Weight/Height,Body Structure,Release Data,Charge through USB,Internal Memory,RAM,Memory Expandable/Type,Display Technology,Warranty,Screen Size,Screen Resolution,Ratio of Screen Size to Body,DAR,Pixel Density,Back Camera Recording,Flashlight,Digital Zoom,Front Facing Cameras,Display Features,Back Facing Cameras,Camera HardWare,OTG,Camera Features,Cellular Network,Supported Networks,USB PORT,Bluetooth,GPS and features,Sensors,Special Features,Battery Capacity,Battery Type,Fast Charge,CPU Frequency,Screen Brightness,Screen Refresh Rate,Screen Glass,Available Colors,Brand,Seller,Score,Price Final,Price No Discount
Samsung Galaxy A05 4G 128/4GB,"Mediatek MT6769V/CZ Helio G85 (12 نانومتری)
",هشت هسته,"Mali-G52 MC2
","دو سیم کارت (نانو سیم - همزمان فعال)
",اندروید 13 با  رابط کاربری One UI 4.1، این نسخه برای زمانی است که این گوشی معرفی شده است و ممکن است در هنگام خرید شما آپدیت جدیدتری برای آن آمده باشد و به اندروید ورژن بالاتر ارتقا پیدا کند.,,168.8x78.2x8.8 میلی‌ متر / 195 گرم,"جلو شیشه ای و پشت و فریم پلاستیکی
",۰۳ مهر ۱۴۰۲,دارد,128 گیگابایت,"4 گیگابایت
","دارد/ microSDXC
","PLS LCD
",گارانتی 18 ماهه هماهنگ,"6.7 اینچ
","16 میلیون رنگ، 720x1600 پیکسل
",~82.1%,"20:9
","262 پیکسل بر اینچ
","1080p با سرعت 30 و 60 فریم بر ثانیه
","LED
",,"8 مگاپیکسل
",,دو گانه 50 مگاپیکسل + 2 مگاپیکسل,,,,"4G
","GSM ،HSPA ،LTE
","دارد/ USB Type-C 2.0
","دارد/ نسخه 5.3 و ویژگی های A2DP ،LE
","دارد/ با قابلیت ساپورت GPS ،GLONASS ،GALILEO ،BDS
","شتاب سنج (Accelerometer)، حسگر مجاورت Proximity Sensor
",,"5000 میلی آمپر ساعت
",لیتیوم پلیمر/ خیر,25 وات,2 هسته 2.0 گیگاهرتزی Cortex-A75 و 6 هسته 1.8 گیگاهرتزی Cortex-A55,108.4 نیت,,,"['سبز', 'مشکی', 'نقره\u200cای']",گوشی سامسونگ,سگالینو,2.75,,"4,674,000"
Samsung Galaxy A05 4G 128/4GB,"Mediatek MT6769V/CZ Helio G85 (12 نانومتری)
",هشت هسته,"Mali-G52 MC2
","دو سیم کارت (نانو سیم - همزمان فعال)
",اندروید 13 با  رابط کاربری One UI 4.1، این نسخه برای زمانی است که این گوشی معرفی شده است و ممکن است در هنگام خرید شما آپدیت جدیدتری برای آن آمده باشد و به اندروید ورژن بالاتر ارتقا پیدا کند.,,168.8x78.2x8.8 میلی‌ متر / 195 گرم,"جلو شیشه ای و پشت و فریم پلاستیکی
",۰۳ مهر ۱۴۰۲,دارد,128 گیگابایت,"4 گیگابایت
","دارد/ microSDXC
","PLS LCD
","18 ماه گارانتی هماهنگانتخاب گارانتی18 ماه گارانتی هماهنگتومان4,699,00018 ماه گارانتی شرکتیتومان4,699,000","6.7 اینچ
","16 میلیون رنگ، 720x1600 پیکسل
",~82.1%,"20:9
","262 پیکسل بر اینچ
","1080p با سرعت 30 و 60 فریم بر ثانیه
","LED
",,"8 مگاپیکسل
",,دو گانه 50 مگاپیکسل + 2 مگاپیکسل,,,,"4G
","GSM ،HSPA ،LTE
","دارد/ USB Type-C 2.0
","دارد/ نسخه 5.3 و ویژگی های A2DP ،LE
","دارد/ با قابلیت ساپورت GPS ،GLONASS ،GALILEO ،BDS
","شتاب سنج (Accelerometer)، حسگر مجاورت Proximity Sensor
",,"5000 میلی آمپر ساعت
",لیتیوم پلیمر/ خیر,25 وات,2 هسته 2.0 گیگاهرتزی Cortex-A75 و 6 هسته 1.8 گیگاهرتزی Cortex-A55,108.4 نیت,,,"['سبز', 'مشکی', 'نقره\u200cای']",گوشی سامسونگ,تکنولایف,2.75,,"4,699,000"
Samsung Galaxy A05 4G 128/4GB,"Mediatek MT6769V/CZ Helio G85 (12 نانومتری)
",هشت هسته,"Mali-G52 MC2
","دو سیم کارت (نانو سیم - همزمان فعال)
",اندروید 13 با  رابط کاربری One UI 4.1، این نسخه برای زمانی است که این گوشی معرفی شده است و ممکن است در هنگام خرید شما آپدیت جدیدتری برای آن آمده باشد و به اندروید ورژن بالاتر ارتقا پیدا کند.,,168.8x78.2x8.8 میلی‌ متر / 195 گرم,"جلو شیشه ای و پشت و فریم پلاستیکی
",۰۳ مهر ۱۴۰۲,دارد,128 گیگابایت,"4 گیگابایت
","دارد/ microSDXC
","PLS LCD
",18 ماه گارانتی شرکتی,"6.7 اینچ
","16 میلیون رنگ، 720x1600 پیکسل
",~82.1%,"20:9
","262 پیکسل بر اینچ
","1080p با سرعت 30 و 60 فریم بر ثانیه
","LED
",,"8 مگاپیکسل
",,دو گانه 50 مگاپیکسل + 2 مگاپیکسل,,,,"4G
","GSM ،HSPA ،LTE
","دارد/ USB Type-C 2.0
","دارد/ نسخه 5.3 و ویژگی های A2DP ،LE
","دارد/ با قابلیت ساپورت GPS ،GLONASS ،GALILEO ،BDS
","شتاب سنج (Accelerometer)، حسگر مجاورت Proximity Sensor
",,"5000 میلی آمپر ساعت
",لیتیوم پلیمر/ خیر,25 وات,2 هسته 2.0 گیگاهرتزی Cortex-A75 و 6 هسته 1.8 گیگاهرتزی Cortex-A55,108.4 نیت,,,"['سبز', 'مشکی', 'نقره\u200cای']",گوشی سامسونگ,اکسترا موبایل,2.75,,"4,783,000"
Xiaomi Redmi Note 13 Pro 5G 512/12GB,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 نانو متری),هشت هسته,"Adreno 710
",2 سیم کارت نانو سیم (همزمان فعال),Android 13 با رابط کاربری MIUI 14,سه گانه 200 مگاپیکسل + 8 مگاپیکسل + 2 مگاپیکسل,161.2x74.2x8 میلی متر/ 187 گرم,,,دارد,512 گیگابایت,12 گیگابایت,ندارد,OLED,18 ماه گارانتی شرکتی,6.67 اینچ,68 میلیارد رنگ/ 1220x2712 پیکسل,89.8 درصد,20:9,446 پیکسل بر اینچ,4K با سرعت 30 فریم بر ثانیه، 1080p با سرعت 30/60/120 فریم بر ثانیه,فلاش دوگانه LED,,16 مگاپیکسل,,سه گانه 200 مگاپیکسل + 8 مگاپیکسل + 2 مگاپیکسل,,دارد,HDR ،Panorama,5G,"GSM/CDMA/HSPA/CDMA2000/LTE/5G
",دارد/ USB Type-C 2.0,دارد/ نسخه 5.2 با پشتیبانی از A2DP و LE,"دارد/ GPS (L1)،GLONASS (G1)،BDS (B1I+B1c)،GALILEO (E1)،QZSS (L1)

",حسگر اثر انگشت (زیر صفحه نمایش، اپتیکال)، قطب نما، ژیروسکوپ، مجاورت، شتاب سنج,,5100 میلی آمپر ساعت,لیتیوم پلیمر/ خیر,پشتیبانی از شارژ سریع 67 وات,4 هسته 2.4 گیگاهرتز Cortex-A78  و 4 هسته 1.95 گیگاهرتز Cortex-A55,حداکثر 1800 نیت، در حالت عادی 500 نیت,120 هرتز,Corning Gorilla Glass Victus,"['آبی', 'بنفش', 'مشکی']",گوشی شیائومی,تکنولایف,4.1,,"16,299,000"
Xiaomi Redmi Note 13 Pro 5G 512/12GB,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 نانو متری),هشت هسته,"Adreno 710
",2 سیم کارت نانو سیم (همزمان فعال),Android 13 با رابط کاربری MIUI 14,سه گانه 200 مگاپیکسل + 8 مگاپیکسل + 2 مگاپیکسل,161.2x74.2x8 میلی متر/ 187 گرم,,,دارد,512 گیگابایت,12 گیگابایت,ندارد,OLED,18 ماه گارانتی شرکتی,6.67 اینچ,68 میلیارد رنگ/ 1220x2712 پیکسل,89.8 درصد,20:9,446 پیکسل بر اینچ,4K با سرعت 30 فریم بر ثانیه، 1080p با سرعت 30/60/120 فریم بر ثانیه,فلاش دوگانه LED,,16 مگاپیکسل,,سه گانه 200 مگاپیکسل + 8 مگاپیکسل + 2 مگاپیکسل,,دارد,HDR ،Panorama,5G,"GSM/CDMA/HSPA/CDMA2000/LTE/5G
",دارد/ USB Type-C 2.0,دارد/ نسخه 5.2 با پشتیبانی از A2DP و LE,"دارد/ GPS (L1)،GLONASS (G1)،BDS (B1I+B1c)،GALILEO (E1)،QZSS (L1)

",حسگر اثر انگشت (زیر صفحه نمایش، اپتیکال)، قطب نما، ژیروسکوپ، مجاورت، شتاب سنج,,5100 میلی آمپر ساعت,لیتیوم پلیمر/ خیر,پشتیبانی از شارژ سریع 67 وات,4 هسته 2.4 گیگاهرتز Cortex-A78  و 4 هسته 1.95 گیگاهرتز Cortex-A55,حداکثر 1800 نیت، در حالت عادی 500 نیت,120 هرتز,Corning Gorilla Glass Victus,"['آبی', 'بنفش', 'مشکی']",گوشی شیائومی,ستیا همراه,4.1,,"17,212,000"
Xiaomi Redmi Note 13 Pro 5G 512/12GB,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 نانو متری),هشت هسته,"Adreno 710
",2 سیم کارت نانو سیم (همزمان فعال),Android 13 با رابط کاربری MIUI 14,سه گانه 200 مگاپیکسل + 8 مگاپیکسل + 2 مگاپیکسل,161.2x74.2x8 میلی متر/ 187 گرم,,,دارد,512 گیگابایت,12 گیگابایت,ندارد,OLED,18 ماه گارانتی شرکتی,6.67 اینچ,68 میلیارد رنگ/ 1220x2712 پیکسل,89.8 درصد,20:9,446 پیکسل بر اینچ,4K با سرعت 30 فریم بر ثانیه، 1080p با سرعت 30/60/120 فریم بر ثانیه,فلاش دوگانه LED,,16 مگاپیکسل,,سه گانه 200 مگاپیکسل + 8 مگاپیکسل + 2 مگاپیکسل,,دارد,HDR ،Panorama,5G,"GSM/CDMA/HSPA/CDMA2000/LTE/5G
",دارد/ USB Type-C 2.0,دارد/ نسخه 5.2 با پشتیبانی از A2DP و LE,"دارد/ GPS (L1)،GLONASS (G1)،BDS (B1I+B1c)،GALILEO (E1)،QZSS (L1)

",حسگر اثر انگشت (زیر صفحه نمایش، اپتیکال)، قطب نما، ژیروسکوپ، مجاورت، شتاب سنج,,5100 میلی آمپر ساعت,لیتیوم پلیمر/ خیر,پشتیبانی از شارژ سریع 67 وات,4 هسته 2.4 گیگاهرتز Cortex-A78  و 4 هسته 1.95 گیگاهرتز Cortex-A55,حداکثر 1800 نیت، در حالت عادی 500 نیت,120 هرتز,Corning Gorilla Glass Victus,"['آبی', 'بنفش', 'مشکی']",گوشی شیائومی,آی تی متاکو,4.1,,"17,299,000"
Xiaomi Redmi Note 13 Pro 5G 512/12GB,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 نانو متری),هشت هسته,"Adreno 710
",2 سیم کارت نانو سیم (همزمان فعال),Android 13 با رابط کاربری MIUI 14,سه گانه 200 مگاپیکسل + 8 مگاپیکسل + 2 مگاپیکسل,161.2x74.2x8 میلی متر/ 187 گرم,,,دارد,512 گیگابایت,12 گیگابایت,ندارد,OLED,18 ماه گارانتی شرکتی,6.67 اینچ,68 میلیارد رنگ/ 1220x2712 پیکسل,89.8 درصد,20:9,446 پیکسل بر اینچ,4K با سرعت 30 فریم بر ثانیه، 1080p با سرعت 30/60/120 فریم بر ثانیه,فلاش دوگانه LED,,16 مگاپیکسل,,سه گانه 200 مگاپیکسل + 8 مگاپیکسل + 2 مگاپیکسل,,دارد,HDR ،Panorama,5G,"GSM/CDMA/HSPA/CDMA2000/LTE/5G
",دارد/ USB Type-C 2.0,دارد/ نسخه 5.2 با پشتیبانی از A2DP و LE,"دارد/ GPS (L1)،GLONASS (G1)،BDS (B1I+B1c)،GALILEO (E1)،QZSS (L1)

",حسگر اثر انگشت (زیر صفحه نمایش، اپتیکال)، قطب نما، ژیروسکوپ، مجاورت، شتاب سنج,,5100 میلی آمپر ساعت,لیتیوم پلیمر/ خیر,پشتیبانی از شارژ سریع 67 وات,4 هسته 2.4 گیگاهرتز Cortex-A78  و 4 هسته 1.95 گیگاهرتز Cortex-A55,حداکثر 1800 نیت، در حالت عادی 500 نیت,120 هرتز,Corning Gorilla Glass Victus,"['آبی', 'بنفش', 'مشکی']",گوشی شیائومی,تامین محصول  تهران,4.1,,"17,399,000"
Samsung Galaxy A35 5G 256/8GB - Vietnam,"Exynos 1380 (5 نانومتری)
",هشت هسته,Mali-G68 MP5,دو سیم‌ کارت (نانوسیم، همزمان فعال),اندروید 14 با رابط کاربری One UI 6.1 (در زمان عرضه),سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,161.7x78x8.2 میلی متر/ 209 گرم,جلو شیشه (گوریلا گلس ویکتوس پلاس)، فریم پلاستیک، پشت شیشه,اسفند 1402,دارد,256 گیگابایت,8 گیگابایت,"دارد/ microSDXC (استفاده‌ از شیار دوم سیم‌ کارت)
",Super AMOLED,18 ماه گارانتی شرکتی,"6.6 اینچ
",2340x1080 پیکسل ,84.8,19.5:9,390 پیکسل بر اینچ,4K با سرعت 30 فریم بر ثانیه، 1080p با سرعت 60 و 30 فریم بر ثانیه,دارد ,"دارد 
", 13 مگاپیکسل,,سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,,دارد,پانوراما، HDR,5G,"GSM ،HSPA ،LTE ،5G
",دارد/ USB Type-C 2.0,دارد/ نسخه 5.3، A2DP، LE,"دارد/ با قابلیت ساپورت GPS ،GLONASS ،GALILEO ،BDS
","حسگر اثر انگشت اپتیکال (زیر نمایشگر)، شتاب‌ سنج، ژیروسکوپ، قطب‌ نما
",,5000 میلی آمپر ساعت,"لیتیوم پلیمری/ خیر

",پشتیبانی از شارژ سریع 25 وات,4 هسته 2.4 گیگاهرتزی Cortex-A78 و 4 هسته 2.0 گیگاهرتزی Cortex-A55,1000 نیت,120 هرتز,گوریلا گلس ویکتوس پلاس,"['سرمه\u200cای', 'آبی', 'زرد', 'بنفش']",گوشی سامسونگ,همراه دیجیتال,4.33,,"15,226,000"
Samsung Galaxy A35 5G 256/8GB - Vietnam,"Exynos 1380 (5 نانومتری)
",هشت هسته,Mali-G68 MP5,دو سیم‌ کارت (نانوسیم، همزمان فعال),اندروید 14 با رابط کاربری One UI 6.1 (در زمان عرضه),سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,161.7x78x8.2 میلی متر/ 209 گرم,جلو شیشه (گوریلا گلس ویکتوس پلاس)، فریم پلاستیک، پشت شیشه,اسفند 1402,دارد,256 گیگابایت,8 گیگابایت,"دارد/ microSDXC (استفاده‌ از شیار دوم سیم‌ کارت)
",Super AMOLED,18 ماه گارانتی شرکتی,"6.6 اینچ
",2340x1080 پیکسل ,84.8,19.5:9,390 پیکسل بر اینچ,4K با سرعت 30 فریم بر ثانیه، 1080p با سرعت 60 و 30 فریم بر ثانیه,دارد ,"دارد 
", 13 مگاپیکسل,,سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,,دارد,پانوراما، HDR,5G,"GSM ،HSPA ،LTE ،5G
",دارد/ USB Type-C 2.0,دارد/ نسخه 5.3، A2DP، LE,"دارد/ با قابلیت ساپورت GPS ،GLONASS ،GALILEO ،BDS
","حسگر اثر انگشت اپتیکال (زیر نمایشگر)، شتاب‌ سنج، ژیروسکوپ، قطب‌ نما
",,5000 میلی آمپر ساعت,"لیتیوم پلیمری/ خیر

",پشتیبانی از شارژ سریع 25 وات,4 هسته 2.4 گیگاهرتزی Cortex-A78 و 4 هسته 2.0 گیگاهرتزی Cortex-A55,1000 نیت,120 هرتز,گوریلا گلس ویکتوس پلاس,"['سرمه\u200cای', 'آبی', 'زرد', 'بنفش']",گوشی سامسونگ,بانی رایان پرداز نو,4.33,,"15,200,000"
Samsung Galaxy A35 5G 256/8GB - Vietnam,"Exynos 1380 (5 نانومتری)
",هشت هسته,Mali-G68 MP5,دو سیم‌ کارت (نانوسیم، همزمان فعال),اندروید 14 با رابط کاربری One UI 6.1 (در زمان عرضه),سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,161.7x78x8.2 میلی متر/ 209 گرم,جلو شیشه (گوریلا گلس ویکتوس پلاس)، فریم پلاستیک، پشت شیشه,اسفند 1402,دارد,256 گیگابایت,8 گیگابایت,"دارد/ microSDXC (استفاده‌ از شیار دوم سیم‌ کارت)
",Super AMOLED,18 ماه گارانتی شرکتی,"6.6 اینچ
",2340x1080 پیکسل ,84.8,19.5:9,390 پیکسل بر اینچ,4K با سرعت 30 فریم بر ثانیه، 1080p با سرعت 60 و 30 فریم بر ثانیه,دارد ,"دارد 
", 13 مگاپیکسل,,سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,,دارد,پانوراما، HDR,5G,"GSM ،HSPA ،LTE ،5G
",دارد/ USB Type-C 2.0,دارد/ نسخه 5.3، A2DP، LE,"دارد/ با قابلیت ساپورت GPS ،GLONASS ،GALILEO ،BDS
","حسگر اثر انگشت اپتیکال (زیر نمایشگر)، شتاب‌ سنج، ژیروسکوپ، قطب‌ نما
",,5000 میلی آمپر ساعت,"لیتیوم پلیمری/ خیر

",پشتیبانی از شارژ سریع 25 وات,4 هسته 2.4 گیگاهرتزی Cortex-A78 و 4 هسته 2.0 گیگاهرتزی Cortex-A55,1000 نیت,120 هرتز,گوریلا گلس ویکتوس پلاس,"['سرمه\u200cای', 'آبی', 'زرد', 'بنفش']",گوشی سامسونگ,تکنولایف,4.33,,"15,279,000"
Samsung Galaxy A35 5G 256/8GB - Vietnam,"Exynos 1380 (5 نانومتری)
",هشت هسته,Mali-G68 MP5,دو سیم‌ کارت (نانوسیم، همزمان فعال),اندروید 14 با رابط کاربری One UI 6.1 (در زمان عرضه),سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,161.7x78x8.2 میلی متر/ 209 گرم,جلو شیشه (گوریلا گلس ویکتوس پلاس)، فریم پلاستیک، پشت شیشه,اسفند 1402,دارد,256 گیگابایت,8 گیگابایت,"دارد/ microSDXC (استفاده‌ از شیار دوم سیم‌ کارت)
",Super AMOLED,گارانتی 18 ماهه هماهنگ,"6.6 اینچ
",2340x1080 پیکسل ,84.8,19.5:9,390 پیکسل بر اینچ,4K با سرعت 30 فریم بر ثانیه، 1080p با سرعت 60 و 30 فریم بر ثانیه,دارد ,"دارد 
", 13 مگاپیکسل,,سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,,دارد,پانوراما، HDR,5G,"GSM ،HSPA ،LTE ،5G
",دارد/ USB Type-C 2.0,دارد/ نسخه 5.3، A2DP، LE,"دارد/ با قابلیت ساپورت GPS ،GLONASS ،GALILEO ،BDS
","حسگر اثر انگشت اپتیکال (زیر نمایشگر)، شتاب‌ سنج، ژیروسکوپ، قطب‌ نما
",,5000 میلی آمپر ساعت,"لیتیوم پلیمری/ خیر

",پشتیبانی از شارژ سریع 25 وات,4 هسته 2.4 گیگاهرتزی Cortex-A78 و 4 هسته 2.0 گیگاهرتزی Cortex-A55,1000 نیت,120 هرتز,گوریلا گلس ویکتوس پلاس,"['سرمه\u200cای', 'آبی', 'زرد', 'بنفش']",گوشی سامسونگ,سگالینو,4.33,,"15,299,000"
Samsung Galaxy A35 5G 256/8GB - Vietnam,"Exynos 1380 (5 نانومتری)
",هشت هسته,Mali-G68 MP5,دو سیم‌ کارت (نانوسیم، همزمان فعال),اندروید 14 با رابط کاربری One UI 6.1 (در زمان عرضه),سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,161.7x78x8.2 میلی متر/ 209 گرم,جلو شیشه (گوریلا گلس ویکتوس پلاس)، فریم پلاستیک، پشت شیشه,اسفند 1402,دارد,256 گیگابایت,8 گیگابایت,"دارد/ microSDXC (استفاده‌ از شیار دوم سیم‌ کارت)
",Super AMOLED,18 ماه گارانتی شرکتی,"6.6 اینچ
",2340x1080 پیکسل ,84.8,19.5:9,390 پیکسل بر اینچ,4K با سرعت 30 فریم بر ثانیه، 1080p با سرعت 60 و 30 فریم بر ثانیه,دارد ,"دارد 
", 13 مگاپیکسل,,سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,,دارد,پانوراما، HDR,5G,"GSM ،HSPA ،LTE ،5G
",دارد/ USB Type-C 2.0,دارد/ نسخه 5.3، A2DP، LE,"دارد/ با قابلیت ساپورت GPS ،GLONASS ،GALILEO ،BDS
","حسگر اثر انگشت اپتیکال (زیر نمایشگر)، شتاب‌ سنج، ژیروسکوپ، قطب‌ نما
",,5000 میلی آمپر ساعت,"لیتیوم پلیمری/ خیر

",پشتیبانی از شارژ سریع 25 وات,4 هسته 2.4 گیگاهرتزی Cortex-A78 و 4 هسته 2.0 گیگاهرتزی Cortex-A55,1000 نیت,120 هرتز,گوریلا گلس ویکتوس پلاس,"['سرمه\u200cای', 'آبی', 'زرد', 'بنفش']",گوشی سامسونگ,صدر ارتباط,4.33,,"15,328,000"
Samsung Galaxy A35 5G 256/8GB - Vietnam,"Exynos 1380 (5 نانومتری)
",هشت هسته,Mali-G68 MP5,دو سیم‌ کارت (نانوسیم، همزمان فعال),اندروید 14 با رابط کاربری One UI 6.1 (در زمان عرضه),سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,161.7x78x8.2 میلی متر/ 209 گرم,جلو شیشه (گوریلا گلس ویکتوس پلاس)، فریم پلاستیک، پشت شیشه,اسفند 1402,دارد,256 گیگابایت,8 گیگابایت,"دارد/ microSDXC (استفاده‌ از شیار دوم سیم‌ کارت)
",Super AMOLED,18 ماه گارانتی شرکتی,"6.6 اینچ
",2340x1080 پیکسل ,84.8,19.5:9,390 پیکسل بر اینچ,4K با سرعت 30 فریم بر ثانیه، 1080p با سرعت 60 و 30 فریم بر ثانیه,دارد ,"دارد 
", 13 مگاپیکسل,,سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,,دارد,پانوراما، HDR,5G,"GSM ،HSPA ،LTE ،5G
",دارد/ USB Type-C 2.0,دارد/ نسخه 5.3، A2DP، LE,"دارد/ با قابلیت ساپورت GPS ،GLONASS ،GALILEO ،BDS
","حسگر اثر انگشت اپتیکال (زیر نمایشگر)، شتاب‌ سنج، ژیروسکوپ، قطب‌ نما
",,5000 میلی آمپر ساعت,"لیتیوم پلیمری/ خیر

",پشتیبانی از شارژ سریع 25 وات,4 هسته 2.4 گیگاهرتزی Cortex-A78 و 4 هسته 2.0 گیگاهرتزی Cortex-A55,1000 نیت,120 هرتز,گوریلا گلس ویکتوس پلاس,"['سرمه\u200cای', 'آبی', 'زرد', 'بنفش']",گوشی سامسونگ,اکسترا موبایل,4.33,,"15,384,000"
Samsung Galaxy A35 5G 256/8GB - Vietnam,"Exynos 1380 (5 نانومتری)
",هشت هسته,Mali-G68 MP5,دو سیم‌ کارت (نانوسیم، همزمان فعال),اندروید 14 با رابط کاربری One UI 6.1 (در زمان عرضه),سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,161.7x78x8.2 میلی متر/ 209 گرم,جلو شیشه (گوریلا گلس ویکتوس پلاس)، فریم پلاستیک، پشت شیشه,اسفند 1402,دارد,256 گیگابایت,8 گیگابایت,"دارد/ microSDXC (استفاده‌ از شیار دوم سیم‌ کارت)
",Super AMOLED,18 ماه گارانتی شرکتی,"6.6 اینچ
",2340x1080 پیکسل ,84.8,19.5:9,390 پیکسل بر اینچ,4K با سرعت 30 فریم بر ثانیه، 1080p با سرعت 60 و 30 فریم بر ثانیه,دارد ,"دارد 
", 13 مگاپیکسل,,سه گانه 50 مگاپیکسل + 8 مگاپیکسل + 5 مگاپیکسل,,دارد,پانوراما، HDR,5G,"GSM ،HSPA ،LTE ،5G
",دارد/ USB Type-C 2.0,دارد/ نسخه 5.3، A2DP، LE,"دارد/ با قابلیت ساپورت GPS ،GLONASS ،GALILEO ،BDS
","حسگر اثر انگشت اپتیکال (زیر نمایشگر)، شتاب‌ سنج، ژیروسکوپ، قطب‌ نما
",,5000 میلی آمپر ساعت,"لیتیوم پلیمری/ خیر

",پشتیبانی از شارژ سریع 25 وات,4 هسته 2.4 گیگاهرتزی Cortex-A78 و 4 هسته 2.0 گیگاهرتزی Cortex-A55,1000 نیت,120 هرتز,گوریلا گلس ویکتوس پلاس,"['سرمه\u200cای', 'آبی', 'زرد', 'بنفش']",گوشی سامسونگ,آی تی متاکو,4.33,,"15,998,000"
Samsung Galaxy A55 5G 128/8GB - Vietnam,Exynos 1480 (4 نانومتری),هشت هسته,Xclipse 530,دو سیم‌ کارت نانو سیم (هیبریدی، همزمان فعال),Android 14 با رابط کاربری One UI 6.1 (در زمان عرضه),سه گانه 50 مگاپیکسل + 12 مگاپیکسل + 5 مگاپیکسل,161.1x77.4x8.2 میلی متر/ وزن 213 گرم,جلو شیشه (گوریلا گلس ویکتوس) و پشت شیشه (گوریلا گلس)، فریم آلومینیوم,اسفند 1402,,128 گیگابایت,8 گیگابایت,"دارد/ microSDXC (استفاده‌ از شیار دوم سیم‌ کارت)
",Super AMOLED,گارانتی 18 ماهه هماهنگ,"6.6 اینچ
",1080x2340 پیکسل ,,19.5:9,390 پیکسل در اینچ,4K با سرعت 30 فریم بر ثانیه، 1080p با سرعت 30 و 60 فریم بر ثانیه,دارد ,"دارد 
",32 مگاپیکسل,پشتیبانی از +HDR10,سه گانه 50 مگاپیکسل + 12 مگاپیکسل + 5 مگاپیکسل ,,دارد,پانوراما، HDR,5G,"GSM ،HSPA ،LTE ،5G
",دارد / USB Type-C 2.0,دارد / نسخه 5.3، A2DP، LE,"دارد / با قابلیت ساپورت GPS ،GLONASS ،GALILEO ،BDS

",اثر انگشت (زیر صفحه)، شتاب سنج، ژیروسکوپ، قطب نما، فشار سنج (نسخه USA),,5000 میلی آمپر ساعت,"لیتیوم پلیمری/ خیر

",دارد، 25 وات,"چهار هسته‌ 2.7 گیگاهرتز Cortex-A78 و چهار هسته‌  2.0 گیگاهرتز Cortex-A55
",1000 نیت,120 هرتز,Gorilla Glass Victus,"['سرمه\u200cای', 'زرد', 'آبی', 'بنفش']",گوشی سامسونگ,سگالینو,4.1,,"16,895,000"
